Provider Name,Phone,Address,Specialty,NPI,Website,License Number,Clinic Name,State,Phone_Valid,NPI_Valid,Website_Active,Address_Valid,Website_Title,AI_Specialty_Prediction,AI_Category,AI_Keywords,AI_Summary,Confidence_Score,Trust_Level,Anomaly_Flag,Anomaly_Notes
Bobby Santiago,(251)156-8756x934,"USNS Doyle, FPO AA 23546",Radiology,1234478691,https://www.bobby84clinic.com,LIC-13104,Bobby Health Clinic,NY,True,True,True,True,Bobby Health Clinic | Radiology in NY,Radiology,Specialist Clinic,"Radiology, NY, Bobby, healthcare, doctor","Bobby Santiago is a Radiology provider at Bobby Health Clinic based in NY, serving patients as a specialist clinic.",95,High,False,
Ana Williams,(610)624-2664,"4687 Brian Shoals, Robertsside, OH 38487",Dermatology,1601309117,https://www.ana82clinic.com,LIC-57810,Ana Health Clinic,CA,True,True,True,True,Ana Health Clinic | Dermatology in CA,Dermatology,Specialist Clinic,"Dermatology, CA, Ana, healthcare, doctor","Ana Williams is a Dermatology provider at Ana Health Clinic based in CA, serving patients as a specialist clinic.",94,High,False,
Tamara Skinner,+1-726-059-0163x8402,"7451 Daniel Way, West Stevenmouth, NH 41751",Orthopedics,1291049437,https://www.tamara39clinic.com,LIC-29079,Tamara Health Clinic,NC,True,True,True,True,Tamara Health Clinic | Orthopedics in NC,Orthopedics,Specialist Clinic,"Orthopedics, NC, Tamara, healthcare, doctor","Tamara Skinner is a Orthopedics provider at Tamara Health Clinic based in NC, serving patients as a specialist clinic.",94,High,False,
Jennifer Wright,7482004347,"75217 Vaughan Throughway Suite 472, Port Benjamin, VT 97800",Orthopedics,1261117293,https://www.jennifer95clinic.com,LIC-74264,Jennifer Health Clinic,CA,True,True,False,True,Jennifer Health Clinic | Orthopedics in CA,Orthopedics,Specialist Clinic,"Orthopedics, CA, Jennifer, healthcare, doctor","Jennifer Wright is a Orthopedics provider at Jennifer Health Clinic based in CA, serving patients as a specialist clinic.",84,High,False,Website not reachable
Brian Oliver,(488)495-3655,"2974 Bullock Shore, Port Kevin, MI 69181",Radiology,1504100959,https://www.brian78clinic.com,LIC-85865,Brian Health Clinic,IL,True,True,False,True,Brian Health Clinic | Radiology in IL,Radiology,Specialist Clinic,"Radiology, IL, Brian, healthcare, doctor","Brian Oliver is a Radiology provider at Brian Health Clinic based in IL, serving patients as a specialist clinic.",84,High,False,Website not reachable
Peter Smith,110-275-3457x03696,"8818 Andrea Expressway Suite 944, Chadfort, HI 93923",Pediatrics,1457733567,https://www.peter48clinic.com,LIC-23698,Peter Health Clinic,GA,True,True,True,True,Peter Health Clinic | Pediatrics in GA,Pediatrics,Primary Care Clinic,"Pediatrics, GA, Peter, healthcare, doctor","Peter Smith is a Pediatrics provider at Peter Health Clinic based in GA, serving patients as a primary care clinic.",92,High,False,
Brandon Jensen,001-187-227-0869x554,"25129 Sloan Dam, Browntown, ID 56256",Pediatrics,1441313774,https://www.brandon49clinic.com,LIC-72854,Brandon Health Clinic,IL,True,True,True,True,Brandon Health Clinic | Pediatrics in IL,Pediatrics,Primary Care Clinic,"Pediatrics, IL, Brandon, healthcare, doctor","Brandon Jensen is a Pediatrics provider at Brandon Health Clinic based in IL, serving patients as a primary care clinic.",89,High,False,
James Joseph,(665)185-1239x77383,"37234 Nathan Brook, Mooreborough, NH 55305",Neurology,1610314208,https://www.james43clinic.com,LIC-52978,James Health Clinic,OH,True,True,True,True,James Health Clinic | Neurology in OH,Neurology,Specialist Clinic,"Neurology, OH, James, healthcare, doctor","James Joseph is a Neurology provider at James Health Clinic based in OH, serving patients as a specialist clinic.",94,High,False,
Gary Khan,(105)786-3438,"917 Powell Overpass Suite 808, Port Brandonborough, KY 23990",Neurology,1255298342,https://www.gary35clinic.com,LIC-39631,Gary Health Clinic,PA,True,True,True,True,Gary Health Clinic | Neurology in PA,Neurology,Specialist Clinic,"Neurology, PA, Gary, healthcare, doctor","Gary Khan is a Neurology provider at Gary Health Clinic based in PA, serving patients as a specialist clinic.",92,High,False,
Angela Arnold,001-913-419-9856x4756,"3477 Rice Lane, North Christinefort, DC 82164",Urology,1979688359,https://www.angela56clinic.com,LIC-31550,Angela Health Clinic,MI,True,True,False,True,Angela Health Clinic | Urology in MI,Urology,Specialist Clinic,"Urology, MI, Angela, healthcare, doctor","Angela Arnold is a Urology provider at Angela Health Clinic based in MI, serving patients as a specialist clinic.",82,High,False,Website not reachable
Brianna Green,001-364-050-0633x52516,"5260 Donna Shoals Suite 690, Briantown, FL 56839",Oncology,1847436430,https://www.brianna76clinic.com,LIC-77250,Brianna Health Clinic,TX,True,True,False,True,Brianna Health Clinic | Oncology in TX,Oncology,Specialist Clinic,"Oncology, TX, Brianna, healthcare, doctor","Brianna Green is a Oncology provider at Brianna Health Clinic based in TX, serving patients as a specialist clinic.",81,High,False,Website not reachable
Gary Chapman,506-555-5234,"6808 Christopher Flat, South John, UT 48588",Gastroenterology,1991733222,https://www.gary41clinic.com,LIC-41027,Gary Health Clinic,NY,True,True,True,True,Gary Health Clinic | Gastroenterology in NY,Gastroenterology,Specialist Clinic,"Gastroenterology, NY, Gary, healthcare, doctor","Gary Chapman is a Gastroenterology provider at Gary Health Clinic based in NY, serving patients as a specialist clinic.",90,High,False,
Scott Mckenzie,+1-278-435-1902x514,"214 Stephen Junctions, Raymondside, AR 85196",Cardiology,1391982969,https://www.scott60clinic.com,LIC-66391,Scott Health Clinic,OH,True,True,False,True,Scott Health Clinic | Cardiology in OH,Cardiology,Specialist Clinic,"Cardiology, OH, Scott, healthcare, doctor","Scott Mckenzie is a Cardiology provider at Scott Health Clinic based in OH, serving patients as a specialist clinic.",85,High,False,Website not reachable
Deborah Reed,849-998-5106x9713,"709 Cisneros Extensions, West Gina, MD 98504",Family Medicine,1427417760,https://www.deborah57clinic.com,LIC-50596,Deborah Health Clinic,PA,True,True,False,True,Deborah Health Clinic | Family Medicine in PA,Family Medicine,Primary Care Clinic,"Family Medicine, PA, Deborah, healthcare, doctor","Deborah Reed is a Family Medicine provider at Deborah Health Clinic based in PA, serving patients as a primary care clinic.",84,High,False,Website not reachable
Jacob Brown,6616774707,"15386 Burke Rapid, New Courtneyfort, MI 27725",Family Medicine,1843478407,https://www.jacob94clinic.com,LIC-55600,Jacob Health Clinic,TX,True,True,True,True,Jacob Health Clinic | Family Medicine in TX,Family Medicine,Primary Care Clinic,"Family Medicine, TX, Jacob, healthcare, doctor","Jacob Brown is a Family Medicine provider at Jacob Health Clinic based in TX, serving patients as a primary care clinic.",93,High,False,
Shawn Ramirez,001-417-432-3195x98130,"Unit 5786 Box 9265, DPO AP 53337",Oncology,1448199512,https://www.shawn47clinic.com,LIC-98000,Shawn Health Clinic,FL,True,True,True,True,Shawn Health Clinic | Oncology in FL,Oncology,Specialist Clinic,"Oncology, FL, Shawn, healthcare, doctor","Shawn Ramirez is a Oncology provider at Shawn Health Clinic based in FL, serving patients as a specialist clinic.",91,High,False,
Steve Cisneros,+1-666-375-9629x129,"0000 Steven Corners, New Williamburgh, AL 09212",Neurology,1765852894,https://www.steve93clinic.com,LIC-11160,Steve Health Clinic,NY,True,True,True,True,Steve Health Clinic | Neurology in NY,Neurology,Specialist Clinic,"Neurology, NY, Steve, healthcare, doctor","Steve Cisneros is a Neurology provider at Steve Health Clinic based in NY, serving patients as a specialist clinic.",94,High,False,
Joseph Fisher,4976226773,"259 Jill Mills, Janetbury, SC 78775",Gastroenterology,1561165224,https://www.joseph83clinic.com,LIC-30743,Joseph Health Clinic,PA,True,True,True,True,Joseph Health Clinic | Gastroenterology in PA,Gastroenterology,Specialist Clinic,"Gastroenterology, PA, Joseph, healthcare, doctor","Joseph Fisher is a Gastroenterology provider at Joseph Health Clinic based in PA, serving patients as a specialist clinic.",92,High,False,
Michelle Ortiz,190-344-6398,"522 Robert Manor Apt. 784, West Victor, OK 93152",Cardiology,1893186161,https://www.michelle90clinic.com,LIC-81367,Michelle Health Clinic,GA,True,True,True,True,Michelle Health Clinic | Cardiology in GA,Cardiology,Specialist Clinic,"Cardiology, GA, Michelle, healthcare, doctor","Michelle Ortiz is a Cardiology provider at Michelle Health Clinic based in GA, serving patients as a specialist clinic.",92,High,False,
Amanda Woods,001-468-466-3406x11511,"8863 Duncan Harbor Apt. 216, Reedport, NC 33780",Gastroenterology,1863620771,https://www.amanda44clinic.com,LIC-83612,Amanda Health Clinic,MI,True,True,True,True,Amanda Health Clinic | Gastroenterology in MI,Gastroenterology,Specialist Clinic,"Gastroenterology, MI, Amanda, healthcare, doctor","Amanda Woods is a Gastroenterology provider at Amanda Health Clinic based in MI, serving patients as a specialist clinic.",92,High,False,
Anthony Pratt,+1-668-762-5713x24990,"0597 Thomas Lane, Hornbury, ID 67853",Dermatology,1012404646,https://www.anthony49clinic.com,LIC-22887,Anthony Health Clinic,MI,True,True,False,True,Anthony Health Clinic | Dermatology in MI,Dermatology,Specialist Clinic,"Dermatology, MI, Anthony, healthcare, doctor","Anthony Pratt is a Dermatology provider at Anthony Health Clinic based in MI, serving patients as a specialist clinic.",80,High,False,Website not reachable
Sarah Howard,001-987-670-5221x7462,"79019 Rodgers Dam Suite 265, Brookechester, WV 28191",Urology,1563267300,https://www.sarah83clinic.com,LIC-23613,Sarah Health Clinic,TX,True,True,False,True,Sarah Health Clinic | Urology in TX,Urology,Specialist Clinic,"Urology, TX, Sarah, healthcare, doctor","Sarah Howard is a Urology provider at Sarah Health Clinic based in TX, serving patients as a specialist clinic.",79,Moderate,True,Website not reachable
John Robertson,(752)669-3486x15179,"Unit 2961 Box 6221, DPO AE 08522",Dermatology,1281650616,https://www.john40clinic.com,LIC-67074,John Health Clinic,MI,True,True,False,True,John Health Clinic | Dermatology in MI,Dermatology,Specialist Clinic,"Dermatology, MI, John, healthcare, doctor","John Robertson is a Dermatology provider at John Health Clinic based in MI, serving patients as a specialist clinic.",82,High,False,Website not reachable
Michelle Conley,235-711-9524x269,"23132 Catherine Junction Apt. 966, New Josephview, GA 20325",Radiology,1163012952,https://www.michelle23clinic.com,LIC-89801,Michelle Health Clinic,GA,True,True,True,True,Michelle Health Clinic | Radiology in GA,Radiology,Specialist Clinic,"Radiology, GA, Michelle, healthcare, doctor","Michelle Conley is a Radiology provider at Michelle Health Clinic based in GA, serving patients as a specialist clinic.",95,High,False,
Sherri Holt,001-889-150-2032x9444,"8669 Harper Dale, New Chasemouth, NY 98683",Dermatology,1691017028,https://www.sherri17clinic.com,LIC-79525,Sherri Health Clinic,GA,True,True,True,True,Sherri Health Clinic | Dermatology in GA,Dermatology,Specialist Clinic,"Dermatology, GA, Sherri, healthcare, doctor","Sherri Holt is a Dermatology provider at Sherri Health Clinic based in GA, serving patients as a specialist clinic.",89,High,False,
Dave Villarreal,(725)589-5527,"5204 Kimberly Drives, Heidibury, NC 40701",Radiology,1337017869,https://www.dave47clinic.com,LIC-76952,Dave Health Clinic,CA,True,True,False,True,Dave Health Clinic | Radiology in CA,Radiology,Specialist Clinic,"Radiology, CA, Dave, healthcare, doctor","Dave Villarreal is a Radiology provider at Dave Health Clinic based in CA, serving patients as a specialist clinic.",85,High,False,Website not reachable
Allison Macias,+1-499-147-8450x13710,"439 Rios Parkways, Flowersstad, NH 17239",Orthopedics,1510209897,https://www.allison40clinic.com,LIC-56667,Allison Health Clinic,OH,True,True,True,True,Allison Health Clinic | Orthopedics in OH,Orthopedics,Specialist Clinic,"Orthopedics, OH, Allison, healthcare, doctor","Allison Macias is a Orthopedics provider at Allison Health Clinic based in OH, serving patients as a specialist clinic.",94,High,False,
Erin Duke,177-051-0675x48001,"420 Long Ford Apt. 501, West Lauren, OK 19660",Dermatology,1358683495,https://www.erin47clinic.com,LIC-46127,Erin Health Clinic,NY,True,True,True,True,Erin Health Clinic | Dermatology in NY,Dermatology,Specialist Clinic,"Dermatology, NY, Erin, healthcare, doctor","Erin Duke is a Dermatology provider at Erin Health Clinic based in NY, serving patients as a specialist clinic.",90,High,False,
Jasmine Jenkins,+1-770-850-8136x574,"118 Kaylee Point, Frazierfort, VA 79537",Radiology,1198185600,https://www.jasmine86clinic.com,LIC-98222,Jasmine Health Clinic,FL,True,True,False,True,Jasmine Health Clinic | Radiology in FL,Radiology,Specialist Clinic,"Radiology, FL, Jasmine, healthcare, doctor","Jasmine Jenkins is a Radiology provider at Jasmine Health Clinic based in FL, serving patients as a specialist clinic.",83,High,False,Website not reachable
Lucas Burton,9202141170,"62527 Maxwell Gardens Apt. 337, Martinezstad, WI 71085",Radiology,1324114488,https://www.lucas60clinic.com,LIC-82986,Lucas Health Clinic,NC,True,True,True,True,Lucas Health Clinic | Radiology in NC,Radiology,Specialist Clinic,"Radiology, NC, Lucas, healthcare, doctor","Lucas Burton is a Radiology provider at Lucas Health Clinic based in NC, serving patients as a specialist clinic.",90,High,False,
Marc Hopkins,+1-019-918-2050x264,"9529 Clark Via, Port Dawn, KY 98027",Radiology,1075276651,https://www.marc62clinic.com,LIC-93102,Marc Health Clinic,IL,True,True,True,True,Marc Health Clinic | Radiology in IL,Radiology,Specialist Clinic,"Radiology, IL, Marc, healthcare, doctor","Marc Hopkins is a Radiology provider at Marc Health Clinic based in IL, serving patients as a specialist clinic.",94,High,False,
Tamara Nichols,8119048436,"889 Robles Plains Apt. 226, Dariusbury, TX 86353",Orthopedics,1014447888,https://www.tamara13clinic.com,LIC-25232,Tamara Health Clinic,IL,True,True,True,True,Tamara Health Clinic | Orthopedics in IL,Orthopedics,Specialist Clinic,"Orthopedics, IL, Tamara, healthcare, doctor","Tamara Nichols is a Orthopedics provider at Tamara Health Clinic based in IL, serving patients as a specialist clinic.",93,High,False,
Monica Harris,(167)816-6887,"72524 Robinson Parkway Suite 210, Port Ginastad, UT 16720",Neurology,1306484944,https://www.monica59clinic.com,LIC-71363,Monica Health Clinic,NC,True,True,True,True,Monica Health Clinic | Neurology in NC,Neurology,Specialist Clinic,"Neurology, NC, Monica, healthcare, doctor","Monica Harris is a Neurology provider at Monica Health Clinic based in NC, serving patients as a specialist clinic.",91,High,False,
Eric Harris,+1-667-576-7379x18080,"42693 Christopher Port, New Lindsayland, ID 54311",Pediatrics,1105781597,https://www.eric58clinic.com,LIC-65736,Eric Health Clinic,CA,True,True,True,True,Eric Health Clinic | Pediatrics in CA,Pediatrics,Primary Care Clinic,"Pediatrics, CA, Eric, healthcare, doctor","Eric Harris is a Pediatrics provider at Eric Health Clinic based in CA, serving patients as a primary care clinic.",89,High,False,
Logan Mason,563-628-7377,"7633 Harmon Isle, Port Amy, IL 09027",Cardiology,1014934791,https://www.logan41clinic.com,LIC-49313,Logan Health Clinic,CA,True,True,True,True,Logan Health Clinic | Cardiology in CA,Cardiology,Specialist Clinic,"Cardiology, CA, Logan, healthcare, doctor","Logan Mason is a Cardiology provider at Logan Health Clinic based in CA, serving patients as a specialist clinic.",95,High,False,
Tracy Schmidt,(094)905-6047x932,"9139 Thomas Land Apt. 195, East Stephanie, ME 42275",Pediatrics,1438990806,https://www.tracy20clinic.com,LIC-99882,Tracy Health Clinic,OH,True,True,False,True,Tracy Health Clinic | Pediatrics in OH,Pediatrics,Primary Care Clinic,"Pediatrics, OH, Tracy, healthcare, doctor","Tracy Schmidt is a Pediatrics provider at Tracy Health Clinic based in OH, serving patients as a primary care clinic.",82,High,False,Website not reachable
George Rowe,745.839.5463x583,"117 Kimberly Point, Barkerburgh, VA 34517",Orthopedics,1747101181,https://www.george48clinic.com,LIC-97269,George Health Clinic,PA,True,True,True,True,George Health Clinic | Orthopedics in PA,Orthopedics,Specialist Clinic,"Orthopedics, PA, George, healthcare, doctor","George Rowe is a Orthopedics provider at George Health Clinic based in PA, serving patients as a specialist clinic.",95,High,False,
Patrick Mills,+1-882-140-0101,"427 Caroline Street Suite 826, West Dianabury, VT 83700",Dermatology,1228144714,https://www.patrick44clinic.com,LIC-40743,Patrick Health Clinic,PA,True,True,True,True,Patrick Health Clinic | Dermatology in PA,Dermatology,Specialist Clinic,"Dermatology, PA, Patrick, healthcare, doctor","Patrick Mills is a Dermatology provider at Patrick Health Clinic based in PA, serving patients as a specialist clinic.",93,High,False,
Jason Meyers,836-964-5187,"709 Deanna Stream, Coleborough, IL 49500",Cardiology,1645843148,https://www.jason38clinic.com,LIC-10224,Jason Health Clinic,GA,True,True,True,True,Jason Health Clinic | Cardiology in GA,Cardiology,Specialist Clinic,"Cardiology, GA, Jason, healthcare, doctor","Jason Meyers is a Cardiology provider at Jason Health Clinic based in GA, serving patients as a specialist clinic.",94,High,False,
Dr. Anthony Gutierrez,337-044-4108x0391,"USNS Miller, FPO AP 88755",Orthopedics,1330168812,https://www.dr.95clinic.com,LIC-10189,Dr. Health Clinic,TX,True,True,True,True,Dr. Health Clinic | Orthopedics in TX,Orthopedics,Specialist Clinic,"Orthopedics, TX, Dr., healthcare, doctor","Dr. Anthony Gutierrez is a Orthopedics provider at Dr. Health Clinic based in TX, serving patients as a specialist clinic.",94,High,False,
David Ramos,015-773-2446,"704 Frank Loaf Suite 217, South Crystalmouth, CT 20619",Oncology,1075054897,https://www.david53clinic.com,LIC-29492,David Health Clinic,TX,True,True,True,True,David Health Clinic | Oncology in TX,Oncology,Specialist Clinic,"Oncology, TX, David, healthcare, doctor","David Ramos is a Oncology provider at David Health Clinic based in TX, serving patients as a specialist clinic.",90,High,False,
Pamela Bell,460.831.2582,"91343 Austin Overpass, Port Carolyn, MA 68605",Radiology,1545625967,https://www.pamela80clinic.com,LIC-20939,Pamela Health Clinic,NY,True,True,True,True,Pamela Health Clinic | Radiology in NY,Radiology,Specialist Clinic,"Radiology, NY, Pamela, healthcare, doctor","Pamela Bell is a Radiology provider at Pamela Health Clinic based in NY, serving patients as a specialist clinic.",91,High,False,
Scott Lewis,173.784.3600,"2310 Franklin Forest Suite 249, Maymouth, LA 32560",Family Medicine,1257080941,https://www.scott39clinic.com,LIC-47449,Scott Health Clinic,PA,True,True,True,True,Scott Health Clinic | Family Medicine in PA,Family Medicine,Primary Care Clinic,"Family Medicine, PA, Scott, healthcare, doctor","Scott Lewis is a Family Medicine provider at Scott Health Clinic based in PA, serving patients as a primary care clinic.",92,High,False,
Amy Walker,818.914.5653x3659,"Unit 2209 Box 3121, DPO AP 55072",Cardiology,1797134721,https://www.amy21clinic.com,LIC-34052,Amy Health Clinic,TX,True,True,True,True,Amy Health Clinic | Cardiology in TX,Cardiology,Specialist Clinic,"Cardiology, TX, Amy, healthcare, doctor","Amy Walker is a Cardiology provider at Amy Health Clinic based in TX, serving patients as a specialist clinic.",92,High,False,
Kristin Hart,+1-880-962-1364,"4052 Cheryl View Apt. 908, Tiffanyville, CA 20039",Urology,1403675598,https://www.kristin33clinic.com,LIC-75232,Kristin Health Clinic,IL,True,True,True,True,Kristin Health Clinic | Urology in IL,Urology,Specialist Clinic,"Urology, IL, Kristin, healthcare, doctor","Kristin Hart is a Urology provider at Kristin Health Clinic based in IL, serving patients as a specialist clinic.",89,High,False,
Robert Villanueva,6312921894,"449 Ramos Shoals Suite 194, East Margaretmouth, ID 88080",Urology,1363542841,https://www.robert30clinic.com,LIC-92160,Robert Health Clinic,FL,True,True,True,True,Robert Health Clinic | Urology in FL,Urology,Specialist Clinic,"Urology, FL, Robert, healthcare, doctor","Robert Villanueva is a Urology provider at Robert Health Clinic based in FL, serving patients as a specialist clinic.",92,High,False,
Christie Duncan,580-306-3458x252,"299 Joshua Lodge, North Mario, TN 17954",Family Medicine,1680919155,https://www.christie56clinic.com,LIC-63971,Christie Health Clinic,FL,True,True,True,True,Christie Health Clinic | Family Medicine in FL,Family Medicine,Primary Care Clinic,"Family Medicine, FL, Christie, healthcare, doctor","Christie Duncan is a Family Medicine provider at Christie Health Clinic based in FL, serving patients as a primary care clinic.",90,High,False,
Marc Kramer,819.941.0548x01807,"465 Young Spurs, Amandahaven, WY 60763",Radiology,1833796170,https://www.marc87clinic.com,LIC-38054,Marc Health Clinic,PA,True,True,False,True,Marc Health Clinic | Radiology in PA,Radiology,Specialist Clinic,"Radiology, PA, Marc, healthcare, doctor","Marc Kramer is a Radiology provider at Marc Health Clinic based in PA, serving patients as a specialist clinic.",84,High,False,Website not reachable
Brandon Mcconnell,(220)811-9686x788,"370 Kline Roads, Barnettside, WV 48005",Gastroenterology,1013834086,https://www.brandon72clinic.com,LIC-73539,Brandon Health Clinic,TX,True,True,False,True,Brandon Health Clinic | Gastroenterology in TX,Gastroenterology,Specialist Clinic,"Gastroenterology, TX, Brandon, healthcare, doctor","Brandon Mcconnell is a Gastroenterology provider at Brandon Health Clinic based in TX, serving patients as a specialist clinic.",83,High,False,Website not reachable
Amanda Graves,499-451-7560x99153,"774 Delgado Junctions, Rayfurt, NE 22380",Family Medicine,1774593858,https://www.amanda83clinic.com,LIC-62207,Amanda Health Clinic,NC,True,True,True,True,Amanda Health Clinic | Family Medicine in NC,Family Medicine,Primary Care Clinic,"Family Medicine, NC, Amanda, healthcare, doctor","Amanda Graves is a Family Medicine provider at Amanda Health Clinic based in NC, serving patients as a primary care clinic.",95,High,False,
Jeffrey Sullivan,+1-226-148-3640,"3065 Matthew Park, West Jason, IA 95498",Orthopedics,1067574452,https://www.jeffrey52clinic.com,LIC-66115,Jeffrey Health Clinic,NC,True,True,True,True,Jeffrey Health Clinic | Orthopedics in NC,Orthopedics,Specialist Clinic,"Orthopedics, NC, Jeffrey, healthcare, doctor","Jeffrey Sullivan is a Orthopedics provider at Jeffrey Health Clinic based in NC, serving patients as a specialist clinic.",94,High,False,
Nicole Sparks,001-861-518-0067,"897 Castaneda Summit Suite 297, Carolfort, MO 26188",Radiology,1927737845,https://www.nicole48clinic.com,LIC-81106,Nicole Health Clinic,PA,True,True,True,True,Nicole Health Clinic | Radiology in PA,Radiology,Specialist Clinic,"Radiology, PA, Nicole, healthcare, doctor","Nicole Sparks is a Radiology provider at Nicole Health Clinic based in PA, serving patients as a specialist clinic.",91,High,False,
Darrell Turner,+1-536-181-7095x8519,"6104 Kelli Village, East Luke, ND 27054",Pediatrics,1227439691,https://www.darrell23clinic.com,LIC-30712,Darrell Health Clinic,PA,True,True,True,True,Darrell Health Clinic | Pediatrics in PA,Pediatrics,Primary Care Clinic,"Pediatrics, PA, Darrell, healthcare, doctor","Darrell Turner is a Pediatrics provider at Darrell Health Clinic based in PA, serving patients as a primary care clinic.",95,High,False,
Paula Harrison,+1-690-529-6668,"44315 Robert Coves Suite 548, South Carolynport, KS 32674",Neurology,1462157476,https://www.paula48clinic.com,LIC-41743,Paula Health Clinic,CA,True,True,False,True,Paula Health Clinic | Neurology in CA,Neurology,Specialist Clinic,"Neurology, CA, Paula, healthcare, doctor","Paula Harrison is a Neurology provider at Paula Health Clinic based in CA, serving patients as a specialist clinic.",81,High,False,Website not reachable
